code,name,star
6,Best Western JFK Airport,3
7,Best Western Plus Brooklyn Bay Hotel,3
8,Best Western Plus Hospitality House,3
10,Novotel New York Times Square,4
12,Hotel Belleclaire Central Park,4
13,The Sohotel,3
16,Days Inn Jamaica - JFK Airport,2
17,Ravel Hotel,4
,,
22,Econolodge Times Square,2
23,Hilton Garden Inn Manhattan-Chelsea,3
24,Hotel Vetiver,3
25,Midtown West Hotel,3
26,Washington Jefferson Times Square,3
27,Best Western Plus Plaza Hotel,3
28,Best Western Premier Herald Square,3
29,Quality Inn Long Island City,3
30,Sleep Inn Long Island City,3
32,Z NYC Hotel,4
34,Rodeway Inn Near JFK Airport,2
36,Off soho Suites Hotel,2
40,Viana Hotel & Spa,4
42,San Carlos Hotel,4
45,Howard Johnson Express Inn - Rocky Hill,3
47,(Doublon) Holiday Inn Long Island City - Manhattan View,4
48,Midwood Suites 1078,2
51,Midwood Suites 1306,2
55,Rodeway Inn & Suites Fort Lauderdale Airport / Cruise Port,3
62,Quality Inn & Suites Hollywood Boulevard,3
71,New York Hilton Midtown,4
80,Hotel Figueroa,4
81,Biltmore Hotel,4
83,Fairfield Inn & Suites New York Queens/Queensboro Bridge,3
84,Ramada Staten Island Hotel,3
86,Surfside 3,2
87,The Paul Hotel,4
88,Ramada Suites Orlando Airport,3
89,Wingate By Wyndham Orlando Airport,3
91,Americas Best Value Inn Red Bluff,2
92,(doublon) Holiday Inn Express Midtown,3
97,The Cadet,4
,,
113,Days Inn Kissimmee,2
114,Hotel Urbano at Brickell,3
115,Deauville Beach Resort,3
116,Impala Hotel,4
117,Courtyard New York Manhattan Times Square West,4
,,
119,Holiday Inn Lower East Side,4
121,EB Hotel Miami,4
122,The Vagabond Hotel,3
123,Dorchester Hotel & Suites,3
124,Marseilles Hotel South Beach,3
125,Blue Moon Hotel - New York,3
140,Days Inn Brooklyn,3
141,Comfort Inn Brooklyn,2
143,Days Inn Long Island City,2
145,Rodeway Inn MacArthur Airport,2
147,Sleep Inn Brooklyn Downtown,2
148,Sleep Inn JFK Airport Rockaway Blvd Jamaica,2
149,Howard Johnson Inn Suffern,2
155,"Holiday Inn Express LaGuardia  ""(doublon)""",3
179,NH Jolly New York Madison Towers,3
,,
195,Orchard Street Hotel,3
201,The Wall Street Inn,3
205,The GEM Hotel Chelsea,4
214,The Andrew Hotel,3
220,Brooklyn Way Hotel,3
249,Best Western Plus LaGuardia Airport Hotel,3
254,Wyndham Garden Brooklyn Sunset Park,4
264,The Broome Hotel,4
8293,Hotel Plaza Athenee,5
8322,La Quinta Inn & Suites JFK Airport,2
8323,Fairfield Inn & Suites Manhattan / Downtown East,3
8453,Radisson Hotel JFK Airport,3
8465,Pointe Plaza Hotel,3
8533,LaGuardia Plaza Hotel,3
8554,The Mosser Hotel,3
8570,The Staten Island Inn,3
8571,Fairfield Inn and Suites Manhattan / Central Park,3
8572,Comfort Inn Midtown West,3
8659,Hotel Gibbs Riverwalk Downtown San Antonio,3
8670,Homewood Suites by Hilton Miami Airport-Blue Lagoon,3
8682,The Bernic Hotel,4
8697,Courtyard Long Island City/New York Manhattan View,3
8704,Best Western Bowery Hanbee,3
8722,Courtyard by Marriott Manhattan Central Park,4
8734,Hyatt Regency Coral Gables,4
8753,Hilton Garden Inn Dallas/Lewisville,3
8783,Hilton La Jolla Torrey Pines,4
8809,Axiom Hotel San Francisco,4
8811,Hilton LAX Los Angeles Airport,4
8822,The OUT Hotel,4
8913,Courtyard Westbury Long Island,4
8917,Hilton JFK Airport,3
8923,Fairfield Inn & Suites Naples,3
8948,Hyatt Centric Times Square New York,4
9008,ME Miami,5
9018,11 Howard,5
9032,Hampton Inn Fort Lauderdale Airport North Cruise Port,3
9054,Hampton Inn Fort Lauderdale Downtown Las Olas,3
9101,Ocean Beach Palace,3
9107,Embassy Suites by Hilton Orlando Airport,3
9108,Royal Beach Palace,3
9109,Ocean Beach Club,3
9121,Courtyard Miami Dolphin Mall,3
