code,timeslot,room type,Month,sales
10924,11:00:00 - 17:00:00,2 Queens Room,May,8
10924,11:00:00 - 17:00:00,2 Queens Room,June,8
10924,11:00:00 - 17:00:00,2 Queens Room,July,15
10924,11:00:00 - 17:00:00,2 Queens Room,Aug,19
10924,11:00:00 - 17:00:00,2 Queens Room,Sept,19
10924,11:00:00 - 17:00:00,2 Queens Room,Oct,17
10924,11:00:00 - 17:00:00,2 Queens Room,Nov,19
10924,11:00:00 - 17:00:00,2 Queens Room,Dec,15
10924,11:00:00 - 17:00:00,King Room,May,35
10924,11:00:00 - 17:00:00,King Room,June,37
10924,11:00:00 - 17:00:00,King Room,July,38
10924,11:00:00 - 17:00:00,King Room,Aug,45
10924,11:00:00 - 17:00:00,King Room,Sept,46
10924,11:00:00 - 17:00:00,King Room,Oct,40
10924,11:00:00 - 17:00:00,King Room,Nov,51
10924,11:00:00 - 17:00:00,King Room,Dec,55
10924,08:00:00 - 14:00:00,2 Queens Room,May,13
10924,08:00:00 - 14:00:00,2 Queens Room,June,27
10924,08:00:00 - 14:00:00,2 Queens Room,July,22
10924,08:00:00 - 14:00:00,2 Queens Room,Aug,28
10924,08:00:00 - 14:00:00,2 Queens Room,Sept,24
10924,08:00:00 - 14:00:00,2 Queens Room,Oct,27
10924,08:00:00 - 14:00:00,2 Queens Room,Nov,23
10924,08:00:00 - 14:00:00,2 Queens Room,Dec,42
10924,08:00:00 - 14:00:00,King Room,Jan,4
10924,08:00:00 - 14:00:00,King Room,Feb,5
10924,08:00:00 - 14:00:00,King Room,Mar,1
10924,08:00:00 - 14:00:00,King Room,Apr,4
10924,08:00:00 - 14:00:00,King Room,May,33
10924,08:00:00 - 14:00:00,King Room,June,39
10924,08:00:00 - 14:00:00,King Room,July,54
10924,08:00:00 - 14:00:00,King Room,Aug,52
10924,08:00:00 - 14:00:00,King Room,Sept,47
10924,08:00:00 - 14:00:00,King Room,Oct,46
10924,08:00:00 - 14:00:00,King Room,Nov,45
10924,08:00:00 - 14:00:00,King Room,Dec,70
10924,08:00:00 - 14:00:00,Standard King Room,Jan,13
10924,08:00:00 - 14:00:00,Standard King Room,Feb,16
10924,08:00:00 - 14:00:00,Standard King Room,Mar,23
10924,08:00:00 - 14:00:00,Standard King Room,Apr,22
10924,08:00:00 - 14:00:00,Standard King Room,May,12
10924,08:00:00 - 14:00:00,Standard King Room,June,3
10924,08:00:00 - 14:00:00,Standard King Room,July,1
10924,08:00:00 - 14:00:00,Standard King Room,Aug,1
10924,12:00:00 - 20:00:00,2 Queens Room,May,26
10924,12:00:00 - 20:00:00,2 Queens Room,June,22
10924,12:00:00 - 20:00:00,2 Queens Room,July,30
10924,12:00:00 - 20:00:00,2 Queens Room,Aug,28
10924,12:00:00 - 20:00:00,2 Queens Room,Sept,35
10924,12:00:00 - 20:00:00,2 Queens Room,Oct,34
10924,12:00:00 - 20:00:00,2 Queens Room,Nov,25
10924,12:00:00 - 20:00:00,2 Queens Room,Dec,23
10924,12:00:00 - 20:00:00,King Room,May,53
10924,12:00:00 - 20:00:00,King Room,June,70
10924,12:00:00 - 20:00:00,King Room,July,58
10924,12:00:00 - 20:00:00,King Room,Aug,62
10924,12:00:00 - 20:00:00,King Room,Sept,53
10924,12:00:00 - 20:00:00,King Room,Oct,47
10924,12:00:00 - 20:00:00,King Room,Nov,35
10924,12:00:00 - 20:00:00,King Room,Dec,53
10924,09:00:00 - 20:00:00,2 Queens Room,May,24
10924,09:00:00 - 20:00:00,2 Queens Room,June,39
10924,09:00:00 - 20:00:00,2 Queens Room,July,58
10924,09:00:00 - 20:00:00,2 Queens Room,Aug,38
10924,09:00:00 - 20:00:00,2 Queens Room,Sept,41
10924,09:00:00 - 20:00:00,2 Queens Room,Oct,35
10924,09:00:00 - 20:00:00,2 Queens Room,Nov,34
10924,09:00:00 - 20:00:00,2 Queens Room,Dec,49
10924,09:00:00 - 20:00:00,King Room,Jan,45
10924,09:00:00 - 20:00:00,King Room,Feb,32
10924,09:00:00 - 20:00:00,King Room,Mar,74
10924,09:00:00 - 20:00:00,King Room,Apr,84
10924,09:00:00 - 20:00:00,King Room,May,76
10924,09:00:00 - 20:00:00,King Room,June,92
10924,09:00:00 - 20:00:00,King Room,July,102
10924,09:00:00 - 20:00:00,King Room,Aug,67
10924,09:00:00 - 20:00:00,King Room,Sept,54
10924,09:00:00 - 20:00:00,King Room,Oct,53
10924,09:00:00 - 20:00:00,King Room,Nov,49
10924,09:00:00 - 20:00:00,King Room,Dec,63
10924,09:00:00 - 20:00:00,Standard King Room,Jan,88
10924,09:00:00 - 20:00:00,Standard King Room,Feb,65
10924,09:00:00 - 20:00:00,Standard King Room,Mar,97
10924,09:00:00 - 20:00:00,Standard King Room,Apr,99
10924,09:00:00 - 20:00:00,Standard King Room,May,61
10924,09:00:00 - 20:00:00,Standard King Room,June,24
10924,09:00:00 - 20:00:00,Standard King Room,July,12
10924,09:00:00 - 20:00:00,Standard King Room,Aug,2
